average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
74000000,2022-10-31,74000000,74000000,1,3,10000002,41065,2022-11-01T11:09:09Z
20885000,2022-10-31,25000000,16770000,2,6,10000002,41078,2022-11-01T11:09:09Z
16580000,2022-10-31,16580000,16580000,1,1,10000002,41152,2022-11-01T11:09:09Z
42760000,2022-10-31,42760000,42760000,2,6,10000002,41153,2022-11-01T11:09:09Z
13940,2022-10-31,13940,13940,213,1263,10000002,41155,2022-11-01T11:09:09Z
48275028.23,2022-10-31,52180000,44210000,27,31,10000002,41191,2022-11-01T11:09:09Z
12033333.33,2022-10-31,13715000,8606000,12,12,10000002,41196,2022-11-01T11:09:09Z
4641000,2022-10-31,8492000,4091000,5,8,10000002,41198,2022-11-01T11:09:09Z
3930605.26,2022-10-31,4440000,3850000,18,38,10000002,41199,2022-11-01T11:09:09Z
179328095.24,2022-10-31,194800000,177900000,20,21,10000002,41200,2022-11-01T11:09:09Z
183095000,2022-10-31,188000000,173800000,38,40,10000002,41201,2022-11-01T11:09:09Z
320100000,2022-10-31,381400000,262850000,7,8,10000002,41202,2022-11-01T11:09:09Z
12500000000,2022-10-31,12500000000,12500000000,1,1,10000002,41208,2022-11-01T11:09:09Z
36405000000,2022-10-31,36410000000,36400000000,2,2,10000002,41211,2022-11-01T11:09:09Z
12929431.82,2022-10-31,14160000,11310000,61,88,10000002,41212,2022-11-01T11:09:09Z
20396153.85,2022-10-31,20950000,17345000,17,26,10000002,41214,2022-11-01T11:09:09Z
18459482.76,2022-10-31,18980000,16815000,42,58,10000002,41215,2022-11-01T11:09:09Z
28149629.63,2022-10-31,30410000,26590000,15,27,10000002,41217,2022-11-01T11:09:09Z
24980000,2022-10-31,25000000,24310000,415,671,10000002,41218,2022-11-01T11:09:09Z
38810000,2022-10-31,38840000,34510000,113,158,10000002,41220,2022-11-01T11:09:09Z
48370000,2022-10-31,48370000,48370000,1,1,10000002,41225,2022-11-01T11:09:09Z
41610000,2022-10-31,43070000,38015000,6,7,10000002,41236,2022-11-01T11:09:09Z
56175000,2022-10-31,63840000,37010000,4,4,10000002,41237,2022-11-01T11:09:09Z
51000000,2022-10-31,51000000,51000000,1,1,10000002,41238,2022-11-01T11:09:09Z
149900000,2022-10-31,162450000,137350000,4,4,10000002,41239,2022-11-01T11:09:09Z
79020000,2022-10-31,87850000,70190000,2,2,10000002,41249,2022-11-01T11:09:09Z
138900000,2022-10-31,138900000,138900000,2,2,10000002,41250,2022-11-01T11:09:09Z
87350000,2022-10-31,99500000,75200000,2,2,10000002,41251,2022-11-01T11:09:09Z
91935000,2022-10-31,92000000,91870000,2,2,10000002,41252,2022-11-01T11:09:09Z
236100000,2022-10-31,236100000,236100000,1,1,10000002,41253,2022-11-01T11:09:09Z
35.01,2022-10-31,35.01,35.01,19,844,10000002,41263,2022-11-01T11:09:09Z
100.1,2022-10-31,100.1,100.1,11,397,10000002,41264,2022-11-01T11:09:09Z
101,2022-10-31,101,101,16,690,10000002,41265,2022-11-01T11:09:09Z
35760,2022-10-31,35760,35690,27,1841,10000002,41266,2022-11-01T11:09:09Z
659000,2022-10-31,700000,658500,41,1901,10000002,41267,2022-11-01T11:09:09Z
394900,2022-10-31,394900,394900,38,1850,10000002,41268,2022-11-01T11:09:09Z
7116,2022-10-31,7116,7116,17,1056,10000002,41269,2022-11-01T11:09:09Z
12210,2022-10-31,12210,12210,5,4500,10000002,41270,2022-11-01T11:09:09Z
33950,2022-10-31,33990,3026,6,13555,10000002,41271,2022-11-01T11:09:09Z
16790,2022-10-31,16790,16790,3,4000,10000002,41272,2022-11-01T11:09:09Z
22880,2022-10-31,22880,22880,6,7896,10000002,41273,2022-11-01T11:09:09Z
8988,2022-10-31,8988,8988,6,5000,10000002,41274,2022-11-01T11:09:09Z
14940,2022-10-31,14940,14940,10,7868,10000002,41275,2022-11-01T11:09:09Z
15370,2022-10-31,15370,15370,2,3500,10000002,41276,2022-11-01T11:09:09Z
24930,2022-10-31,24930,24930,6,6443,10000002,41277,2022-11-01T11:09:09Z
9723,2022-10-31,9723,9723,3,3500,10000002,41287,2022-11-01T11:09:09Z
8483,2022-10-31,8483,8483,2,4000,10000002,41291,2022-11-01T11:09:09Z
27850,2022-10-31,27850,27850,2,4000,10000002,41294,2022-11-01T11:09:09Z
600,2022-10-31,600,600,3,4565,10000002,41298,2022-11-01T11:09:09Z
5106,2022-10-31,5106,5106,1,2000,10000002,41299,2022-11-01T11:09:09Z
12980,2022-10-31,12990,12920,19,1182,10000002,41302,2022-11-01T11:09:09Z
30070,2022-10-31,30080,30070,14,1140,10000002,41303,2022-11-01T11:09:09Z
750,2022-10-31,750,750,16,660,10000002,41304,2022-11-01T11:09:09Z
42.01,2022-10-31,42.01,42.01,18,1074,10000002,41305,2022-11-01T11:09:09Z
500.1,2022-10-31,500.1,500.1,8,527,10000002,41306,2022-11-01T11:09:09Z
5009,2022-10-31,6845,5001,20,1303,10000002,41307,2022-11-01T11:09:09Z
735600,2022-10-31,735600,735600,40,6637,10000002,41308,2022-11-01T11:09:09Z
10050,2022-10-31,10050,10050,20,890,10000002,41309,2022-11-01T11:09:09Z
6500,2022-10-31,6500,6500,20,1536,10000002,41310,2022-11-01T11:09:09Z
1200,2022-10-31,1200,1200,20,818,10000002,41311,2022-11-01T11:09:09Z
4270,2022-10-31,15000,4260,23,985,10000002,41312,2022-11-01T11:09:09Z
