average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
20.02,2022-10-30,20.02,20.02,1,37,10000001,18,2022-10-31T11:01:07Z
81.04,2022-10-30,81.04,81.04,6,295,10000001,20,2022-10-31T11:01:07Z
2900,2022-10-30,2900,2900,1,3651,10000001,22,2022-10-31T11:01:07Z
1.82,2022-10-30,1.86,1.82,23,3111756,10000001,34,2022-10-31T11:01:07Z
3.05,2022-10-30,3.05,3.05,22,1082850,10000001,35,2022-10-31T11:01:07Z
51.01,2022-10-30,51.01,51.01,30,659551,10000001,36,2022-10-31T11:01:07Z
266.1,2022-10-30,266.1,266.1,24,176785,10000001,37,2022-10-31T11:01:07Z
368.1,2022-10-30,368.1,368.1,10,42585,10000001,38,2022-10-31T11:01:07Z
1110,2022-10-30,1110,1110,10,21703,10000001,39,2022-10-31T11:01:07Z
1207,2022-10-30,1207,1207,9,6019,10000001,40,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,100,10000001,178,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,200,10000001,180,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,100,10000001,183,2022-10-31T11:01:07Z
37,2022-10-30,37,37,1,2000,10000001,190,2022-10-31T11:01:07Z
87,2022-10-30,87,87,1,2000,10000001,193,2022-10-31T11:01:07Z
85,2022-10-30,85,85,2,15000,10000001,207,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,1644,10000001,209,2022-10-31T11:01:07Z
5,2022-10-30,5,5,2,200,10000001,210,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,100,10000001,211,2022-10-31T11:01:07Z
13,2022-10-30,13,13,2,5200,10000001,212,2022-10-31T11:01:07Z
9,2022-10-30,9,9,2,8600,10000001,213,2022-10-31T11:01:07Z
4.75,2022-10-30,4.75,4.75,1,2000,10000001,215,2022-10-31T11:01:07Z
9.2,2022-10-30,9.2,9.2,2,2100,10000001,217,2022-10-31T11:01:07Z
9.94,2022-10-30,9.94,9.94,1,10000,10000001,218,2022-10-31T11:01:07Z
15,2022-10-30,15,15,1,2000,10000001,220,2022-10-31T11:01:07Z
24,2022-10-30,24,24,1,2000,10000001,221,2022-10-31T11:01:07Z
28,2022-10-30,28,28,1,2000,10000001,222,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,100,10000001,266,2022-10-31T11:01:07Z
2.32,2022-10-30,2.32,2.32,2,2880,10000001,267,2022-10-31T11:01:07Z
692500,2022-10-30,692500,692500,1,1,10000001,380,2022-10-31T11:01:07Z
156000,2022-10-30,156000,156000,1,1,10000001,434,2022-10-31T11:01:07Z
2454000,2022-10-30,2454000,2454000,1,1,10000001,438,2022-10-31T11:01:07Z
6739,2022-10-30,6739,6739,1,1,10000001,444,2022-10-31T11:01:07Z
1000000,2022-10-30,1000000,1000000,1,2,10000001,482,2022-10-31T11:01:07Z
10125,2022-10-30,10250,10000,2,4,10000001,483,2022-10-31T11:01:07Z
1218000,2022-10-30,1218000,1218000,1,2,10000001,519,2022-10-31T11:01:07Z
1200000,2022-10-30,2000000,400000,2,2,10000001,527,2022-10-31T11:01:07Z
235150,2022-10-30,325200,145100,2,2,10000001,578,2022-10-31T11:01:07Z
250000,2022-10-30,250000,250000,1,1,10000001,585,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,1,10000001,588,2022-10-31T11:01:07Z
350000,2022-10-30,350000,350000,1,1,10000001,597,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,1,10000001,601,2022-10-31T11:01:07Z
515000,2022-10-30,630000,400000,2,2,10000001,605,2022-10-31T11:01:07Z
7000000,2022-10-30,7000000,7000000,1,3,10000001,621,2022-10-31T11:01:07Z
9525000,2022-10-30,9525000,9525000,1,1,10000001,628,2022-10-31T11:01:07Z
101400000,2022-10-30,101400000,101400000,1,1,10000001,645,2022-10-31T11:01:07Z
2401000,2022-10-30,2401000,2401000,1,1,10000001,654,2022-10-31T11:01:07Z
3400,2022-10-30,3400,3400,1,1,10000001,657,2022-10-31T11:01:07Z
114333.33,2022-10-30,169000,5000,3,3,10000001,672,2022-10-31T11:01:07Z
0.02,2022-10-30,0.02,0.02,1,1,10000001,1202,2022-10-31T11:01:07Z
19.02,2022-10-30,19.02,19.02,6,503,10000001,1224,2022-10-31T11:01:07Z
960,2022-10-30,960,960,1,10000,10000001,1227,2022-10-31T11:01:07Z
0.54,2022-10-30,0.54,0.54,2,18224,10000001,1228,2022-10-31T11:01:07Z
0.15,2022-10-30,0.15,0.15,5,310600,10000001,1230,2022-10-31T11:01:07Z
3002,2022-10-30,3002,3002,1,69,10000001,1232,2022-10-31T11:01:07Z
1251000,2022-10-30,1251000,1251000,3,6,10000001,1248,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,1,10000001,1306,2022-10-31T11:01:07Z
1728900,2022-10-30,4948000,926000,5,10,10000001,1319,2022-10-31T11:01:07Z
68250,2022-10-30,68250,68250,1,2,10000001,1403,2022-10-31T11:01:07Z
913790.91,2022-10-30,2176000,550000,4,11,10000001,1405,2022-10-31T11:01:07Z
742250,2022-10-30,749000,740000,2,4,10000001,1447,2022-10-31T11:01:07Z
124400,2022-10-30,124400,124400,1,1,10000001,1808,2022-10-31T11:01:07Z
17,2022-10-30,17,17,2,20100,10000001,1810,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,100,10000001,1816,2022-10-31T11:01:07Z
2850000,2022-10-30,2850000,2850000,1,1,10000001,1944,2022-10-31T11:01:07Z
400000,2022-10-30,400000,400000,2,2,10000001,1952,2022-10-31T11:01:07Z
1674000,2022-10-30,1674000,1674000,1,1,10000001,1978,2022-10-31T11:01:07Z
1520000,2022-10-30,1520000,1520000,1,1,10000001,1987,2022-10-31T11:01:07Z
978000,2022-10-30,1556000,400000,2,2,10000001,1999,2022-10-31T11:01:07Z
787602.67,2022-10-30,1102000,30010,6,15,10000001,2032,2022-10-31T11:01:07Z
320600,2022-10-30,514000,150000,5,5,10000001,2048,2022-10-31T11:01:07Z
1300000,2022-10-30,1300000,1300000,1,3,10000001,2175,2022-10-31T11:01:07Z
51000,2022-10-30,51000,51000,2,4,10000001,2183,2022-10-31T11:01:07Z
10230,2022-10-30,11460,9000,2,8,10000001,2203,2022-10-31T11:01:07Z
477538.89,2022-10-30,500000,474000,12,72,10000001,2205,2022-10-31T11:01:07Z
2183833.33,2022-10-30,3251000,900000,3,6,10000001,2281,2022-10-31T11:01:07Z
1999000,2022-10-30,1999000,1999000,1,1,10000001,2301,2022-10-31T11:01:07Z
1799000,2022-10-30,1799000,1799000,1,1,10000001,2303,2022-10-31T11:01:07Z
64950,2022-10-30,64950,64950,1,1,10000001,2331,2022-10-31T11:01:07Z
1174000,2022-10-30,1174000,1174000,1,1,10000001,2333,2022-10-31T11:01:07Z
635,2022-10-30,635,635,2,147975,10000001,2401,2022-10-31T11:01:07Z
1343000,2022-10-30,1343000,1343000,1,3,10000001,2404,2022-10-31T11:01:07Z
1637500,2022-10-30,1700000,1450000,2,4,10000001,2410,2022-10-31T11:01:07Z
384300,2022-10-30,474000,175000,5,10,10000001,2456,2022-10-31T11:01:07Z
17000,2022-10-30,17000,17000,2,5,10000001,2464,2022-10-31T11:01:07Z
151600,2022-10-30,151600,151600,2,2,10000001,2466,2022-10-31T11:01:07Z
65000,2022-10-30,65000,65000,3,102,10000001,2476,2022-10-31T11:01:07Z
14000,2022-10-30,14000,14000,1,2,10000001,2486,2022-10-31T11:01:07Z
500000,2022-10-30,500000,500000,17,193,10000001,2488,2022-10-31T11:01:07Z
291,2022-10-30,291,291,2,11040,10000001,2506,2022-10-31T11:01:07Z
750000,2022-10-30,750000,750000,1,1,10000001,2539,2022-10-31T11:01:07Z
1000000,2022-10-30,1000000,1000000,1,1,10000001,2553,2022-10-31T11:01:07Z
9500.01,2022-10-30,19000,0.01,2,8,10000001,2603,2022-10-31T11:01:07Z
635007.14,2022-10-30,741000,40050,4,7,10000001,2605,2022-10-31T11:01:07Z
570,2022-10-30,570,570,2,12500,10000001,2679,2022-10-31T11:01:07Z
57000000,2022-10-30,57000000,57000000,1,1,10000001,2998,2022-10-31T11:01:07Z
551900,2022-10-30,551900,551900,1,4,10000001,3057,2022-10-31T11:01:07Z
5000,2022-10-30,5000,5000,1,4,10000001,3090,2022-10-31T11:01:07Z
5,2022-10-30,5,5,1,1,10000001,3331,2022-10-31T11:01:07Z
43800,2022-10-30,43800,43800,1,2,10000001,3540,2022-10-31T11:01:07Z
0.08,2022-10-30,0.08,0.08,1,10,10000001,3645,2022-10-31T11:01:07Z
2100,2022-10-30,2100,2100,1,38,10000001,3689,2022-10-31T11:01:07Z
11300,2022-10-30,11300,11300,1,735,10000001,3695,2022-10-31T11:01:07Z
900,2022-10-30,900,900,1,2080,10000001,3779,2022-10-31T11:01:07Z
1000,2022-10-30,1000,1000,1,1,10000001,3828,2022-10-31T11:01:07Z
24145.01,2022-10-30,48290,0.01,2,2,10000001,3829,2022-10-31T11:01:07Z
749000,2022-10-30,749000,749000,1,1,10000001,3831,2022-10-31T11:01:07Z
70000,2022-10-30,70000,70000,2,2,10000001,3839,2022-10-31T11:01:07Z
820000,2022-10-30,820000,820000,1,1,10000001,3841,2022-10-31T11:01:07Z
38000,2022-10-30,38000,38000,1,1,10000001,3887,2022-10-31T11:01:07Z
5114,2022-10-30,5114,5114,1,1205,10000001,4246,2022-10-31T11:01:07Z
3000,2022-10-30,3000,3000,1,690,10000001,4247,2022-10-31T11:01:07Z
1498750,2022-10-30,4290000,1100000,2,8,10000001,4250,2022-10-31T11:01:07Z
2210000,2022-10-30,2210000,2210000,1,1,10000001,4258,2022-10-31T11:01:07Z
10000000,2022-10-30,10000000,10000000,1,1,10000001,4316,2022-10-31T11:01:07Z
84500,2022-10-30,84500,84500,1,1,10000001,4393,2022-10-31T11:01:07Z
400000,2022-10-30,400000,400000,1,5,10000001,4405,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,1,10000001,4471,2022-10-31T11:01:07Z
114700,2022-10-30,114700,114700,1,8,10000001,4871,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,1,10000001,5093,2022-10-31T11:01:07Z
1,2022-10-30,1,1,1,1,10000001,5439,2022-10-31T11:01:07Z
35000,2022-10-30,35000,35000,1,3,10000001,5971,2022-10-31T11:01:07Z
767400,2022-10-30,767400,767400,1,1,10000001,5973,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,1,10000001,6160,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,4,10000001,8027,2022-10-31T11:01:07Z
8000,2022-10-30,8000,8000,3,3,10000001,8529,2022-10-31T11:01:07Z
100,2022-10-30,100,100,1,2,10000001,8531,2022-10-31T11:01:07Z
115100,2022-10-30,115100,115100,1,1,10000001,8748,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,1,10000001,8863,2022-10-31T11:01:07Z
5000,2022-10-30,5000,5000,1,2,10000001,9556,2022-10-31T11:01:07Z
5000,2022-10-30,5000,5000,1,1,10000001,9582,2022-10-31T11:01:07Z
100,2022-10-30,100,100,1,10,10000001,9826,2022-10-31T11:01:07Z
165,2022-10-30,165,165,1,1,10000001,9838,2022-10-31T11:01:07Z
0.01,2022-10-30,0.01,0.01,1,9,10000001,9842,2022-10-31T11:01:07Z
15000000,2022-10-30,15000000,15000000,1,1,10000001,9899,2022-10-31T11:01:07Z
15000000,2022-10-30,15000000,15000000,1,1,10000001,9941,2022-10-31T11:01:07Z
9800000,2022-10-30,9800000,9800000,1,1,10000001,9942,2022-10-31T11:01:07Z
15000000,2022-10-30,15000000,15000000,1,1,10000001,9943,2022-10-31T11:01:07Z
3600000,2022-10-30,3600000,3600000,1,3,10000001,9950,2022-10-31T11:01:07Z
500,2022-10-30,500,500,1,5,10000001,10039,2022-10-31T11:01:07Z
31900000,2022-10-30,31900000,31900000,1,1,10000001,10225,2022-10-31T11:01:07Z
579869.64,2022-10-30,699400,30030,3,28,10000001,10250,2022-10-31T11:01:07Z
397800,2022-10-30,397800,397800,1,1,10000001,10884,2022-10-31T11:01:07Z
30113.33,2022-10-30,33420,5000,6,6,10000001,11129,2022-10-31T11:01:07Z
17564.29,2022-10-30,48975,5000,4,7,10000001,11132,2022-10-31T11:01:07Z
50000,2022-10-30,50000,50000,1,1,10000001,11133,2022-10-31T11:01:07Z
59517.86,2022-10-30,100000,49000,22,28,10000001,11134,2022-10-31T11:01:07Z
13000000,2022-10-30,13000000,13000000,1,1,10000001,11200,2022-10-31T11:01:07Z
8900000,2022-10-30,8900000,8900000,1,4,10000001,11202,2022-10-31T11:01:07Z
