average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
81.04,2022-11-01,81.04,81.04,2,123,10000001,20,2022-11-01T11:09:09Z
811,2022-11-01,811,811,1,100,10000001,22,2022-11-01T11:09:09Z
1.84,2022-11-01,1.84,1.84,31,74016402,10000001,34,2022-11-01T11:09:09Z
3.05,2022-11-01,3.05,3.05,23,20553253,10000001,35,2022-11-01T11:09:09Z
52.02,2022-11-01,52.02,52.02,30,48288,10000001,36,2022-11-01T11:09:09Z
267.1,2022-11-01,267.1,267.1,27,32955,10000001,37,2022-11-01T11:09:09Z
711,2022-11-01,711,711,17,3548,10000001,38,2022-11-01T11:09:09Z
3969,2022-11-01,3969,3969,8,20336,10000001,39,2022-11-01T11:09:09Z
2999,2022-11-01,2999,2999,7,174,10000001,40,2022-11-01T11:09:09Z
14.9,2022-11-01,14.9,14.9,1,4000,10000001,181,2022-11-01T11:09:09Z
22,2022-11-01,22,22,1,3640,10000001,183,2022-11-01T11:09:09Z
26.25,2022-11-01,26.25,26.25,2,5000,10000001,184,2022-11-01T11:09:09Z
29,2022-11-01,29,29,2,20000,10000001,188,2022-11-01T11:09:09Z
87,2022-11-01,87,87,2,18000,10000001,193,2022-11-01T11:09:09Z
249,2022-11-01,249,249,1,19898,10000001,200,2022-11-01T11:09:09Z
2.55,2022-11-01,2.55,2.55,1,100,10000001,202,2022-11-01T11:09:09Z
0.03,2022-11-01,0.03,0.03,1,100,10000001,204,2022-11-01T11:09:09Z
0.03,2022-11-01,0.03,0.03,2,300,10000001,205,2022-11-01T11:09:09Z
0.03,2022-11-01,0.03,0.03,1,100,10000001,206,2022-11-01T11:09:09Z
0.03,2022-11-01,0.03,0.03,1,200,10000001,207,2022-11-01T11:09:09Z
90,2022-11-01,90,90,4,13300,10000001,208,2022-11-01T11:09:09Z
65,2022-11-01,65,65,2,4600,10000001,209,2022-11-01T11:09:09Z
13.35,2022-11-01,13.35,13.35,4,5200,10000001,212,2022-11-01T11:09:09Z
3.01,2022-11-01,3.01,3.01,4,2471,10000001,215,2022-11-01T11:09:09Z
15,2022-11-01,15,15,1,3000,10000001,216,2022-11-01T11:09:09Z
28,2022-11-01,28,28,3,9000,10000001,222,2022-11-01T11:09:09Z
84,2022-11-01,84,84,1,200,10000001,230,2022-11-01T11:09:09Z
0.01,2022-11-01,0.01,0.01,1,1,10000001,242,2022-11-01T11:09:09Z
