type_id,is_buy_order,price,system_id,volume_remain,order_count_history,volume_history,typeName,categoryID,categoryName,groupID,groupName,primaryIndex,subIndex,jita_price,buysell_difference,buysell_percentage,formula
4569,False,55960.0,30002187,201,163,319,Medium I-a Enduring Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,19160.0,36800.0,192.06680584551148,304.82244310805055
4569,False,24550.0,30002659,168,104,148,Medium I-a Enduring Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,19160.0,5390.0,28.131524008350734,24.782533054975644
4569,False,88400.0,30002053,110,22,38,Medium I-a Enduring Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,19160.0,69240.0,361.3778705636743,124.83962801290568
4569,False,91930.0,30002510,192,30,42,Medium I-a Enduring Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,19160.0,72770.0,379.8016701461378,83.08161534446764
4573,False,112000.0,30002187,647,110,197,Medium ACM Compact Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,17780.0,94220.0,529.9212598425197,161.35160461974712
4573,False,26950.0,30002659,496,59,75,Medium ACM Compact Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,17780.0,9170.0,51.574803149606296,7.798609347218695
4573,False,73810.0,30002053,63,6,7,Medium ACM Compact Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,17780.0,56030.0,315.1293588301462,35.01437320334958
4573,False,97870.0,30002510,35,21,37,Medium ACM Compact Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,17780.0,80090.0,450.4499437570304,476.18994054314646
4609,False,37000.0,30002187,106,104,344,Large I-a Enduring Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,34510.0,2490.0,7.215299913068677,23.415690283920988
4609,False,32000.0,30002659,156,43,75,Large I-a Enduring Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,34510.0,2510.0,7.273254129237902,3.496756792902837
4609,False,30000.0,30002053,18,9,18,Large I-a Enduring Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,34510.0,4510.0,13.068675746160533,13.068675746160533
4609,False,74990.0,30002510,129,8,21,Large I-a Enduring Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,34510.0,40480.0,117.29933352651405,19.095240341525543
4613,False,17000.0,30002187,35,93,332,Large ACM Compact Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,35380.0,18380.0,51.950254381006225,492.78527012840186
4613,False,33990.0,30002659,28,29,61,Large ACM Compact Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,35380.0,1390.0,3.9287733182589033,8.55911330049261
4613,False,49960.0,30002053,75,8,20,Large ACM Compact Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,35380.0,14580.0,41.209723007348785,10.989259468626342
4613,False,41990.0,30002510,22,9,23,Large ACM Compact Armor Repairer,7,Module,62,Armor Repair Unit,Consumer Price Index,,35380.0,6610.0,18.68287167891464,19.532093118865305
4787,False,45620.0,30002187,1282,546,821,Small Compact Pb-Acid Cap Battery,7,Module,61,Capacitor Battery,Consumer Price Index,,8064.0,37556.0,465.7242063492063,298.25239735779905
4787,False,39190.0,30002659,2410,260,360,Small Compact Pb-Acid Cap Battery,7,Module,61,Capacitor Battery,Consumer Price Index,,8064.0,31126.0,385.98710317460313,57.65782454060462
4787,False,60000.0,30002053,132,79,132,Small Compact Pb-Acid Cap Battery,7,Module,61,Capacitor Battery,Consumer Price Index,,8064.0,51936.0,644.047619047619,644.047619047619
4787,False,80000.0,30002510,231,132,154,Small Compact Pb-Acid Cap Battery,7,Module,61,Capacitor Battery,Consumer Price Index,,8064.0,71936.0,892.063492063492,594.7089947089947
4833,False,15000.0,30002187,4909,182,352,Medium F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,4545.0,10455.0,230.03300330033002,16.494523764863754
4833,False,6500.0,30002659,445,130,219,Medium F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,4545.0,1955.0,43.014301430143014,21.16883598472207
4833,False,27000.0,30002053,147,15,18,Medium F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,4545.0,22455.0,494.05940594059405,60.497070115174786
4833,False,69600.0,30002510,191,36,54,Medium F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,4545.0,65055.0,1431.3531353135313,404.67575553366856
4871,False,36900.0,30002187,819,278,514,Large Compact Pb-Acid Cap Battery,7,Module,61,Capacitor Battery,Consumer Price Index,,25110.0,11790.0,46.95340501792115,29.467704736521945
4871,False,67500.0,30002659,266,153,194,Large Compact Pb-Acid Cap Battery,7,Module,61,Capacitor Battery,Consumer Price Index,,25110.0,42390.0,168.81720430107526,123.12232193386693
4871,False,189400.0,30002053,465,41,52,Large Compact Pb-Acid Cap Battery,7,Module,61,Capacitor Battery,Consumer Price Index,,25110.0,164290.0,654.2811628833134,73.16692574178988
4871,False,175100.0,30002510,102,53,68,Large Compact Pb-Acid Cap Battery,7,Module,61,Capacitor Battery,Consumer Price Index,,25110.0,149990.0,597.331740342493,398.2211602283287
5011,False,16000.0,30002187,3560,187,298,Small F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,8998.0,7002.0,77.81729273171815,6.513919447767418
5011,False,18000.0,30002659,302,128,208,Small F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,8998.0,9002.0,100.04445432318292,68.90478973252333
5011,False,179800.0,30002053,213,24,27,Small F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,8998.0,170802.0,1898.2218270726828,240.61966822048095
5051,False,191600.0,30002187,223,163,509,Heavy F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,214500.0,22900.0,10.675990675990676,24.368068403942843
5051,False,219500.0,30002659,159,54,84,Heavy F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,214500.0,5000.0,2.331002331002331,1.2314729295861373
5051,False,199600.0,30002053,4,11,18,Heavy F-RX Compact Capacitor Booster,7,Module,76,Capacitor Booster,Consumer Price Index,,214500.0,14900.0,6.946386946386947,31.25874125874126
