date,quantity,type,unit_price,total,client,where
2022.11.09 00:55,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Captain Acab,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 00:50,1,Gamma S,"3,128 ISK","-3,128 ISK",Hexian Aurilen,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 00:44,5,Hammerhead I,"23,180 ISK","-115,900 ISK",Inflicted Fury,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 00:43,41,Caldari Navy Inferno Rocket,622 ISK,"-25,502 ISK",Aleksandr She,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 00:38,1,Hammerhead I,"23,180 ISK","-23,180 ISK",Dodger Redfern,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 00:33,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Johnny Ryan,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 00:25,1,Gamma S,"3,128 ISK","-3,128 ISK",Christian Jay Winchester,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.09 00:22,1,Hammerhead I,"23,180 ISK","-23,180 ISK",Celeran,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:54,2,Hammerhead I,"23,180 ISK","-46,360 ISK",Ranna,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:54,1,Standard L,"20,100 ISK","-20,100 ISK",Ranna,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:54,3,Hammerhead I,"23,180 ISK","-69,540 ISK",Cronaxis,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:44,1,Hammerhead I,"23,180 ISK","-23,180 ISK",Evylrune IskHunt,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:43,59,Hornet EC-300,"6,009 ISK","-354,531 ISK",Master Azrael Trild,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:42,3,Gamma S,"3,128 ISK","-9,384 ISK",Evylrune IskHunt,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:42,2,Hammerhead I,"23,180 ISK","-46,360 ISK",Kyoshi Asques,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:42,1,Gamma S,"3,128 ISK","-3,128 ISK",Kyoshi Asques,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:32,1,Hammerhead I,"23,180 ISK","-23,180 ISK",solid memes,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:22,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Rahakan Flynn,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:22,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",UFO2,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:18,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",Layhell,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:16,1,Standard L,"20,100 ISK","-20,100 ISK",Rocketship27,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:15,5,Hammerhead I,"23,180 ISK","-115,900 ISK",woods gold,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:09,6,Heavy Assault Missile Launcher I,"27,970 ISK","-167,820 ISK",DEADPIXEL81,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:07,5,Hornet EC-300,"6,009 ISK","-30,045 ISK",Ter Melodra,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:02,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",Krylance Orphen,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:02,1,Deluge Enduring Burst Jammer,"5,506 ISK","-5,506 ISK",Vaun Kado,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 23:01,2,Hornet EC-300,"6,009 ISK","-12,018 ISK",Smokey Swamp,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 22:54,1,Gamma S,"3,128 ISK","-3,128 ISK",lASOLEG,Jita IV - Moon 4 - Caldari Navy Assembly Plant
