date,quantity,type,unit_price,total,client,where
2022.11.08 17:28,177,Evasive Maneuvers Charge,404 ISK,"-71,508 ISK",Tusia Ereda,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 17:05,1,Gamma S,"3,128 ISK","-3,128 ISK",Raaver,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 17:05,1,Gamma S,"3,128 ISK","-3,128 ISK",Zarya OWP,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 17:02,1,Talocan Automation Accounts,"3,014 ISK","-3,014 ISK",quecke,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:58,1,Talocan Automation Accounts,"3,014 ISK","-3,014 ISK",Pan Klobaska,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:44,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Daniil Levitskiy,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:43,"8,478",Caldari Navy Inferno Rocket,622 ISK,"-5,273,316 ISK",Jayden James,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:43,377,Mjolnir Precision Heavy Missile,275 ISK,"-103,750 ISK",Jayden James,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:38,2,Hammerhead I,"23,140 ISK","-46,280 ISK",Pierre Duche,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:38,1,Hammerhead I,"23,140 ISK","-23,140 ISK",MasterRif,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:38,1,Hammerhead I,"23,140 ISK","-23,140 ISK",MasterRif,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:38,1,Hammerhead I,"23,140 ISK","-23,140 ISK",MasterRif,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:38,1,Hammerhead I,"23,140 ISK","-23,140 ISK",MasterRif,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:35,2,Gamma S,"3,128 ISK","-6,256 ISK",Dvicha,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:34,1,Talocan Automation Accounts,"3,014 ISK","-3,014 ISK",DImanti Ichinumi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:22,360,Hammerhead I,"23,140 ISK","-8,330,400 ISK",Jayden James,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:17,13,Hammerhead I,"23,140 ISK","-300,820 ISK",Inechet,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:16,6,Gamma S,"3,128 ISK","-18,768 ISK",Darion Shepard,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:15,1,Talocan Automation Accounts,"3,014 ISK","-3,014 ISK",Werdinant,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:11,10,Hammerhead I,"23,140 ISK","-231,400 ISK",Orrion the Kitsune,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:08,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Kenta Kasenumi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:05,2,Hammerhead I,"23,140 ISK","-46,280 ISK",barsik zn,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 16:01,20,Crash,8 ISK,-161 ISK,Colosera Heldicon,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:58,"2,600",Evasive Maneuvers Charge,404 ISK,"-1,050,400 ISK",Nuglord,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:57,18,Hammerhead I,"23,140 ISK","-416,520 ISK",Wilhelm Kuchelbekker,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:50,119,Heavy Assault Missile Launcher I,"25,650 ISK","-3,052,350 ISK",Jayden James,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:36,678,Evasive Maneuvers Charge,404 ISK,"-273,912 ISK",evil B'stard,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:36,300,Evasive Maneuvers Charge,404 ISK,"-121,200 ISK",evil B'stard,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:34,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Ultrick Bimbrun,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:31,"1,000",Evasive Maneuvers Charge,404 ISK,"-404,000 ISK",NurseBob,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:29,1,Gamma S,"3,128 ISK","-3,128 ISK",Filia Tennouoboshi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:27,2,Hammerhead I,"23,140 ISK","-46,280 ISK",Filia Tennouoboshi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:21,1,Gamma S,"3,128 ISK","-3,128 ISK",Caldari Citizen 2120121276,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 15:19,30,Crash,8 ISK,-241 ISK,val orion,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:55,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Haap,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:54,1,Talocan Automation Accounts,"3,014 ISK","-3,014 ISK",Haap,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:53,5,Hammerhead I,"23,140 ISK","-115,700 ISK",IMerfiI,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:51,6,Hammerhead I,"23,140 ISK","-138,840 ISK",Karin Aylet,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:43,300,Evasive Maneuvers Charge,404 ISK,"-121,200 ISK",The Plevis,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:42,1,Gamma S,"3,128 ISK","-3,128 ISK",Bits Frog,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:41,2,Talocan Automation Accounts,"3,014 ISK","-6,028 ISK",emmanuele,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:41,1,Takmahl Cohere Cord,"10,150 ISK","-10,150 ISK",emmanuele,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:41,1,Hammerhead I,"23,140 ISK","-23,140 ISK",The Plevis,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:41,1,Hammerhead I,"23,140 ISK","-23,140 ISK",The Plevis,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:41,1,Hammerhead I,"23,140 ISK","-23,140 ISK",The Plevis,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:40,2,F-90 Compact Sensor Booster,"3,193 ISK","-6,386 ISK",Karin Aylet,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:39,10,Crash,8 ISK,-80 ISK,Garmex,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:33,1,Talocan Reflective Sheets,"7,768 ISK","-7,768 ISK",Brain Wash,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:33,2,Talocan Reflective Sheets,"7,768 ISK","-15,536 ISK",Ayumi Cesaille,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:31,2,Gamma S,"3,128 ISK","-6,256 ISK",TheGreatOld One,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:29,1,F-90 Compact Sensor Booster,"3,193 ISK","-3,193 ISK",Luna Coldstar,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:25,7,Hammerhead I,"23,140 ISK","-161,980 ISK",CucumberFractal,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:18,2,Hammerhead I,"23,140 ISK","-46,280 ISK",first zelephe,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:18,2,Gamma S,"3,128 ISK","-6,256 ISK",first zelephe,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:18,1,Gamma S,"3,128 ISK","-3,128 ISK",Luna Coldstar,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:17,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Broshenui Arhangel,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:17,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Broshenui Arhangel,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:15,1,F-90 Compact Sensor Booster,"3,193 ISK","-3,193 ISK",Anilista Manka Ichinumi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:14,3,Decayed Magnetic Field Stabilizer Mutaplasmid,"126,000 ISK","-378,000 ISK",The Dipstick,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:10,6,Hammerhead I,"23,140 ISK","-138,840 ISK",Khal Khumer,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:06,2,Talocan Automation Accounts,"3,014 ISK","-6,028 ISK",Djack24,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:05,3,Hammerhead I,"23,140 ISK","-69,420 ISK",Maja Strojek,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:05,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Maja Strojek,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:05,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Maja Strojek,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:05,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Maja Strojek,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:02,3,Gamma S,"3,128 ISK","-9,384 ISK",HZ-saman002,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 14:00,1,F-90 Compact Sensor Booster,"3,193 ISK","-3,193 ISK",Chaplain 0931,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:59,"98,360",Mjolnir Precision Heavy Missile,275 ISK,"-27,068,672 ISK",Right Knightt,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:59,1,Hammerhead I,"23,140 ISK","-23,140 ISK",Right Knightt,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:57,1,F-90 Compact Sensor Booster,"3,193 ISK","-3,193 ISK",VictorVQ,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:57,1,F-90 Compact Sensor Booster,"3,193 ISK","-3,193 ISK",Suuri Shi,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:56,1,F-90 Compact Sensor Booster,"3,193 ISK","-3,193 ISK",Astanin Akiga,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:51,1,Talocan Reflective Sheets,"7,768 ISK","-7,768 ISK",Raspevo,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:51,1,Talocan Automation Accounts,"3,014 ISK","-3,014 ISK",Raspevo,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:51,1,Takmahl Cohere Cord,"10,150 ISK","-10,150 ISK",Raspevo,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:50,4,Hammerhead I,"23,140 ISK","-92,560 ISK",Shivaun,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:39,600,Evasive Maneuvers Charge,404 ISK,"-242,400 ISK",Bashier Sunface,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:38,3,Talocan Reflective Sheets,"7,768 ISK","-23,304 ISK",Bona Bedala,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:38,3,Talocan Automation Accounts,"3,014 ISK","-9,042 ISK",Bona Bedala,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:33,20,Crash,8 ISK,-161 ISK,Anna Xena,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:33,2,Decayed Magnetic Field Stabilizer Mutaplasmid,"126,000 ISK","-252,000 ISK",Cptn Swift,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:33,2,F-90 Compact Sensor Booster,"3,193 ISK","-6,386 ISK",Qwest Kado,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:31,27,F-90 Compact Sensor Booster,"3,193 ISK","-86,211 ISK",Ridus,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:29,2,F-90 Compact Sensor Booster,"3,193 ISK","-6,386 ISK",Anna Xena,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:29,1,F-90 Compact Sensor Booster,"3,193 ISK","-3,193 ISK",DieFlut,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:25,2,Takmahl Cohere Cord,"10,150 ISK","-20,300 ISK",Klos Kashuken,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:24,3,Hammerhead I,"23,140 ISK","-69,420 ISK",Anna Xena,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:20,1,Takmahl Cohere Cord,"10,150 ISK","-10,150 ISK",Typhon Panaka,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:20,1,Gamma S,"3,128 ISK","-3,128 ISK",Anna Xena,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:06,2,F-90 Compact Sensor Booster,"3,193 ISK","-6,386 ISK",Koperkapel Konayre,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 13:02,2,Gamma S,"3,128 ISK","-6,256 ISK",STAROSTA174,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 11:42,1,Gamma S,"3,128 ISK","-3,128 ISK",Chrizhtina,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 10:47,2,Gamma S,"3,128 ISK","-6,256 ISK",Cook Tan,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 10:29,2,Gamma S,"3,128 ISK","-6,256 ISK",Mihail Zhavrid,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 09:38,1,Gamma S,"3,128 ISK","-3,128 ISK",Eclipto-4,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 09:25,1,Gamma S,"3,128 ISK","-3,128 ISK",William Ryker II,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 08:40,2,Gamma S,"3,128 ISK","-6,256 ISK",Nemhein Elcmar,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 08:38,2,Gamma S,"3,128 ISK","-6,256 ISK",Violete Diamond,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 08:07,1,Takmahl Cohere Cord,"10,120 ISK","-10,120 ISK",Rodrigo Alvares,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 07:58,16,Advanced 'Limos' Heavy Missile Bay I,"8,545 ISK","-136,720 ISK",Benjamin batler,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 07:48,4,Gamma S,"3,128 ISK","-12,512 ISK",Spoiled yutori1,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 07:00,2,Gamma S,"3,128 ISK","-6,256 ISK",Maksim Evotori,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 06:46,1,Gamma S,"3,128 ISK","-3,128 ISK",Ambetone Ellecon,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 06:30,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Eidolon BYZ,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 06:13,1,Takmahl Cohere Cord,"10,120 ISK","-10,120 ISK",Dread Gurlstas,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 06:03,8,Gamma S,"3,128 ISK","-25,024 ISK",Dance of Moon,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 06:02,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Paul Riposte,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 06:01,5,Hammerhead I,"23,120 ISK","-115,600 ISK",Conditus Viper,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 05:51,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Yatuzabe Lemmont,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 05:51,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Yatuzabe Lemmont,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 05:50,2,Standard L,"20,060 ISK","-40,120 ISK",Ugomon,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 05:29,1,Gamma S,"3,128 ISK","-3,128 ISK",Sailen Kender,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 05:26,6,Hammerhead I,"23,120 ISK","-138,720 ISK",masterskynet,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 05:24,3,Takmahl Cohere Cord,"10,120 ISK","-30,360 ISK",We Honor,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 05:20,2,Standard L,"20,060 ISK","-40,120 ISK",Lex Aihaken,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 05:16,1,Gamma S,"3,128 ISK","-3,128 ISK",Lex Aihaken,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 04:49,6,Hammerhead I,"23,120 ISK","-138,720 ISK",Darth Rabinovich,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 04:40,1,Gamma S,"3,128 ISK","-3,128 ISK",Al Vami,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 04:32,3,Gamma S,"3,128 ISK","-9,384 ISK",TwitchWillTv,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 04:28,1,Gamma S,"3,128 ISK","-3,128 ISK",TwitchWillTv,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 04:05,18,Hammerhead I,"23,120 ISK","-416,160 ISK",Orolo Hessmann,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 04:02,8,Gamma S,"3,128 ISK","-25,024 ISK",Orolo Hessmann,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 04:01,1,Gamma S,"3,128 ISK","-3,128 ISK",Alex of Haze,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 03:59,2,Hammerhead I,"23,120 ISK","-46,240 ISK",OGH231,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 03:54,1,Takmahl Cohere Cord,"10,120 ISK","-10,120 ISK",Kaylee Ibruin,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 03:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Nivrana ShadowStar,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 03:19,1,Gamma S,"3,128 ISK","-3,128 ISK",RisingNova,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 03:06,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Lavendar Delachin,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 03:00,4,Hammerhead I,"23,120 ISK","-92,480 ISK",Amelia Arden,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 02:56,3,Gamma S,"3,128 ISK","-9,384 ISK",Arna MercCorps,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 02:27,2,Hammerhead I,"23,120 ISK","-46,240 ISK",Traude Lemmont,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 02:20,4,Hammerhead I,"23,120 ISK","-92,480 ISK",Reese Tivianne,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 02:19,2,Hammerhead I,"23,120 ISK","-46,240 ISK",Jade Heart-Under-Blade Oshino,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 02:19,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Fimiris Thara,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 02:07,2,Hammerhead I,"23,120 ISK","-46,240 ISK",DruidOfNight67,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 02:07,1,Takmahl Cohere Cord,"10,120 ISK","-10,120 ISK",Jailmate,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 02:06,1,Gamma S,"3,128 ISK","-3,128 ISK",Steelgreyed,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 01:55,1,Hammerhead I,"23,120 ISK","-23,120 ISK",OGH231,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 01:40,5,Hammerhead I,"23,120 ISK","-115,600 ISK",nanata ulesuto,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 01:38,1,Gamma S,"3,128 ISK","-3,128 ISK",Tahmirali,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 01:30,2,Talocan Intricate Formulas,"1,009 ISK","-2,018 ISK",Staraya Shkola,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 01:30,1,Takmahl Cohere Cord,"10,120 ISK","-10,120 ISK",Staraya Shkola,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 01:12,1,Talocan Intricate Formulas,"1,009 ISK","-1,009 ISK",Alexisis,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:59,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Di Paaltomo,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:52,5,Gamma S,"3,128 ISK","-15,640 ISK",Yatuzabe Lemmont,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:51,1,Takmahl Cohere Cord,"10,120 ISK","-10,120 ISK",Catalinna Dahfar,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:50,3,Gamma S,"3,128 ISK","-9,384 ISK",William Ryker II,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:42,1,Talocan Intricate Formulas,"1,009 ISK","-1,009 ISK",Aquamarine Cyanide Die,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:34,2,Gamma S,"3,128 ISK","-6,256 ISK",Scottish Bamafan,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:34,1,Hammerhead I,"23,120 ISK","-23,120 ISK",pirat drakar,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:32,11,Hammerhead I,"23,120 ISK","-254,320 ISK",Yenne,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:31,3,Gamma S,"3,128 ISK","-9,384 ISK",Yenne,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:19,1,Talocan Automation Accounts,"3,011 ISK","-3,011 ISK",Norman Right,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:07,2,Gamma S,"3,128 ISK","-6,256 ISK",Malissa Frostmoore,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 00:01,1,Gamma S,"3,128 ISK","-3,128 ISK",Bhothur Ezion Nahrnid,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:59,6,Hammerhead I,"23,120 ISK","-138,720 ISK",Corvus Andrard,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:58,2,Hammerhead I,"23,120 ISK","-46,240 ISK",Kagamigawa Noelle,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:58,50,Hammerhead I,"23,120 ISK","-1,156,000 ISK",Lexus Valentine,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:51,1,Takmahl Cohere Cord,"10,120 ISK","-10,120 ISK",Dying Constantly,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:36,4,Hammerhead I,"23,120 ISK","-92,480 ISK",Afane Cesaille,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:34,1,Takmahl Cohere Cord,"10,120 ISK","-10,120 ISK",Athenaiss,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",JkMurk,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",JkMurk,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",JkMurk,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",JkMurk,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",JkMurk,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",JkMurk,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",JkMurk,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 23:12,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Terrantus Tsurpalen,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:56,1,Gamma S,"3,128 ISK","-3,128 ISK",kitahara23,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:50,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Roo Da'Juu,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:44,1,Talocan Automation Accounts,"3,011 ISK","-3,011 ISK",Tee Kay,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:44,2,Takmahl Cohere Cord,"10,120 ISK","-20,240 ISK",Tee Kay,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:44,1,Gamma S,"3,128 ISK","-3,128 ISK",FlanCa Gutrippa,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:38,2,Hammerhead I,"23,120 ISK","-46,240 ISK",Ambralex Tenebris,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Aki Rey,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Aki Rey,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Aki Rey,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Aki Rey,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:33,1,Hammerhead I,"23,120 ISK","-23,120 ISK",Aki Rey,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:31,8,Talocan Intricate Formulas,"1,009 ISK","-8,072 ISK",Kuecke Aulx-Gao,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.07 22:28,1,Gamma S,"3,128 ISK","-3,128 ISK",smrkn,Jita IV - Moon 4 - Caldari Navy Assembly Plant
